MonoNS,EstNS,MonoS,EstS,SensorID,Src,Vx_body(m_s),Vy_body(m_s),Vz_body(m_s),Ve_enu(m_s),Vn_enu(m_s),Vu_enu(m_s),De_enu(m),Dn_enu(m),Du_enu(m),Depth(m),E(m),N(m),U(m),Valid,ValidFlag,IsWaterMass
328445776980,328395776980,328.44577698,328.39577698,DVL_H1000,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328534089346,328484089346,328.534089346,328.484089346,DVL_H1000,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328536113196,328486113196,328.536113196,328.486113196,DVL_H1000,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328537512304,328487512304,328.537512304,328.487512304,DVL_H1000,BI,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328542521033,328492521033,328.542521033,328.492521033,DVL_H1000,BS,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328543688561,328493688561,328.543688561,328.493688561,DVL_H1000,BE,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328545803410,328495803410,328.54580341,328.49580341,DVL_H1000,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328614246813,328564246813,328.614246813,328.564246813,DVL_H1000,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328615963833,328565963833,328.615963833,328.565963833,DVL_H1000,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328617350108,328567350108,328.617350108,328.567350108,DVL_H1000,BI,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
