MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2188875068429,2188873068429,2188.875068429,2188.873068429,-0.115,0.062,0.993,0.0,0.0,-0.122
2188885300553,2188883300553,2188.885300553,2188.883300553,-0.115,0.062,0.993,0.0,0.0,-0.122
2188895516928,2188893516928,2188.895516928,2188.893516928,-0.115,0.062,0.993,0.0,0.0,0.0
2188905747302,2188903747302,2188.905747302,2188.903747302,-0.115,0.062,0.993,0.0,0.0,-0.122
2188916101925,2188914101925,2188.916101925,2188.914101925,-0.115,0.062,0.993,0.0,0.0,-0.122
2188926361757,2188924361757,2188.926361757,2188.924361757,-0.115,0.062,0.993,0.0,0.0,-0.122
2188936518340,2188934518340,2188.93651834,2188.93451834,-0.115,0.062,0.993,0.0,0.0,0.0
2188946747548,2188944747548,2188.946747548,2188.944747548,-0.115,0.062,0.993,0.0,0.0,-0.122
2188956950214,2188954950214,2188.956950214,2188.954950214,-0.115,0.062,0.993,0.0,0.0,-0.122
2188967187005,2188965187005,2188.967187005,2188.965187005,-0.115,0.062,0.993,0.0,0.0,-0.122
2188977387046,2188975387046,2188.977387046,2188.975387046,-0.115,0.062,0.993,0.0,0.0,-0.122
2188987622962,2188985622962,2188.987622962,2188.985622962,-0.115,0.062,0.993,0.0,0.0,-0.122
2188997853628,2188995853628,2188.997853628,2188.995853628,-0.115,0.062,0.993,0.0,0.0,-0.122
2189008063586,2189006063586,2189.008063586,2189.006063586,-0.115,0.062,0.993,0.0,0.0,-0.122
2189018467208,2189016467208,2189.018467208,2189.016467208,-0.115,0.062,0.993,0.0,0.0,-0.122
2189029136827,2189027136827,2189.029136827,2189.027136827,-0.115,0.062,0.993,0.0,0.0,-0.122
2189039137662,2189037137662,2189.039137662,2189.037137662,-0.115,0.062,0.993,0.0,0.0,-0.122
2189049422285,2189047422285,2189.049422285,2189.047422285,-0.115,0.062,0.993,0.0,0.0,-0.122
2189059656451,2189057656451,2189.059656451,2189.057656451,-0.115,0.062,0.993,0.0,0.0,-0.122
2189069854159,2189067854159,2189.069854159,2189.067854159,-0.115,0.062,0.993,0.0,0.0,-0.122
2189080067617,2189078067617,2189.080067617,2189.078067617,-0.115,0.062,0.993,0.0,0.0,-0.122
2189090291866,2189088291866,2189.090291866,2189.088291866,-0.115,0.062,0.993,0.0,0.0,-0.122
2189100344618,2189098344618,2189.100344618,2189.098344618,-0.115,0.062,0.993,0.0,0.0,-0.122
2189110570909,2189108570909,2189.110570909,2189.108570909,-0.115,0.062,0.993,0.0,0.0,-0.122
2189121011280,2189119011280,2189.12101128,2189.11901128,-0.115,0.062,0.993,0.0,0.0,-0.122
2189131246904,2189129246904,2189.131246904,2189.129246904,-0.115,0.062,0.993,0.0,0.0,-0.122
2189141397655,2189139397655,2189.141397655,2189.139397655,-0.115,0.062,0.993,0.0,0.0,-0.122
2189151640279,2189149640279,2189.151640279,2189.149640279,-0.115,0.062,0.993,0.0,0.0,-0.122
2189161876778,2189159876778,2189.161876778,2189.159876778,-0.115,0.062,0.993,0.0,0.0,-0.122
2189172057278,2189170057278,2189.172057278,2189.170057278,-0.115,0.062,0.993,0.0,0.0,-0.122
2189182292902,2189180292902,2189.182292902,2189.180292902,-0.115,0.062,0.993,0.0,0.0,-0.122
2189192487985,2189190487985,2189.192487985,2189.190487985,-0.115,0.062,0.993,0.0,0.0,0.0
2189202898024,2189200898024,2189.202898024,2189.200898024,-0.115,0.062,0.993,0.0,0.0,-0.122
2189213099523,2189211099523,2189.213099523,2189.211099523,-0.115,0.062,0.993,0.0,0.0,-0.122
2189223337772,2189221337772,2189.223337772,2189.221337772,-0.114,0.062,0.993,0.0,0.0,-0.122
2189233533730,2189231533730,2189.23353373,2189.23153373,-0.114,0.062,0.993,0.0,0.0,-0.122
2189243761479,2189241761479,2189.243761479,2189.241761479,-0.114,0.062,0.993,0.0,0.0,-0.122
2189254151685,2189252151685,2189.254151685,2189.252151685,-0.114,0.062,0.993,0.0,0.0,-0.122
2189264379726,2189262379726,2189.264379726,2189.262379726,-0.114,0.062,0.993,0.0,0.0,-0.061
2189274592017,2189272592017,2189.274592017,2189.272592017,-0.114,0.062,0.993,0.0,0.0,0.0
2189284834058,2189282834058,2189.284834058,2189.282834058,-0.114,0.062,0.993,0.0,0.0,-0.061
2189295017766,2189293017766,2189.295017766,2189.293017766,-0.114,0.062,0.993,0.0,0.0,-0.061
2189305237057,2189303237057,2189.305237057,2189.303237057,-0.114,0.062,0.993,0.0,0.0,-0.061
2189315763469,2189313763469,2189.315763469,2189.313763469,-0.114,0.062,0.993,0.0,0.0,0.0
2189325852679,2189323852679,2189.325852679,2189.323852679,-0.114,0.062,0.993,0.0,0.0,-0.122
2189335896097,2189333896097,2189.335896097,2189.333896097,-0.114,0.062,0.993,0.0,0.0,-0.122
2189346310802,2189344310802,2189.346310802,2189.344310802,-0.113,0.062,0.993,0.0,0.0,-0.122
2189356720257,2189354720257,2189.356720257,2189.354720257,-0.113,0.062,0.993,0.0,0.0,-0.122
2189366907465,2189364907465,2189.366907465,2189.364907465,-0.113,0.062,0.993,0.0,0.0,-0.122
2189376951175,2189374951175,2189.376951175,2189.374951175,-0.113,0.062,0.993,0.0,0.0,-0.122
2189387647044,2189385647044,2189.387647044,2189.385647044,-0.113,0.062,0.993,0.0,0.0,-0.122
2189398460744,2189396460744,2189.398460744,2189.396460744,-0.113,0.062,0.993,0.0,0.0,-0.122
2189408060251,2189406060251,2189.408060251,2189.406060251,-0.113,0.062,0.993,0.0,0.0,-0.122
2189418348666,2189416348666,2189.418348666,2189.416348666,-0.114,0.062,0.993,0.0,0.0,-0.122
2189428370502,2189426370502,2189.428370502,2189.426370502,-0.113,0.062,0.993,0.0,0.0,-0.122
2189438586876,2189436586876,2189.438586876,2189.436586876,-0.114,0.062,0.993,0.0,0.0,-0.122
2189448802375,2189446802375,2189.448802375,2189.446802375,-0.113,0.062,0.993,0.0,0.0,-0.122
2189459203664,2189457203664,2189.459203664,2189.457203664,-0.113,0.062,0.993,0.0,0.0,-0.122
2189469417414,2189467417414,2189.469417414,2189.467417414,-0.113,0.062,0.993,0.0,0.0,-0.122
2189479630871,2189477630871,2189.479630871,2189.477630871,-0.113,0.061,0.993,0.0,0.0,0.0
2189489860371,2189487860371,2189.489860371,2189.487860371,-0.113,0.061,0.993,0.0,0.0,-0.122
2189500107661,2189498107661,2189.500107661,2189.498107661,-0.113,0.061,0.993,0.0,0.0,-0.122
2189510283203,2189508283203,2189.510283203,2189.508283203,-0.113,0.061,0.993,0.0,0.0,-0.122
2189520528452,2189518528452,2189.520528452,2189.518528452,-0.113,0.061,0.993,0.0,0.0,0.0
2189530724701,2189528724701,2189.530724701,2189.528724701,-0.113,0.061,0.993,0.0,0.0,-0.122
2189540943409,2189538943409,2189.540943409,2189.538943409,-0.113,0.061,0.993,0.0,0.0,-0.122
2189551216950,2189549216950,2189.55121695,2189.54921695,-0.113,0.061,0.993,0.0,0.0,-0.122
2189561569531,2189559569531,2189.561569531,2189.559569531,-0.113,0.061,0.993,0.0,0.0,-0.122
2189571602449,2189569602449,2189.571602449,2189.569602449,-0.113,0.061,0.993,0.0,0.0,-0.122
