EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
2189.129246904,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.139397655,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.149640279,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.159876778,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.170057278,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.180292902,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.190487985,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2189.200898024,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.211099523,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.221337772,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.23153373,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.241761479,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.252151685,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.262379726,-0.114,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2189.272592017,-0.114,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2189.282834058,-0.114,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2189.293017766,-0.114,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2189.303237057,-0.114,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2189.313763469,-0.114,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2189.323852679,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.333896097,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.344310802,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.354720257,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.364907465,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.374951175,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.385647044,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.396460744,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.406060251,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.416348666,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.426370502,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.436586876,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.446802375,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.457203664,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.467417414,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.477630871,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2189.487860371,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.498107661,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.508283203,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.518528452,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2189.528724701,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.538943409,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.54921695,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.559569531,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.569602449,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.579995279,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.590203196,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.600401487,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.610645569,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2189.62086311,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.638242147,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.6502085,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.660561956,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2189.67078533,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.68094833,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.69140591,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.701594868,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2189.712405943,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.72490254,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.734367007,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.744693921,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.754918754,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.765047921,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.775387669,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.78557371,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.795977332,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.806150541,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.816387331,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.826552082,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.836829413,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.847227202,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2189.862527264,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.873178217,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.882646767,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.892832892,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.903241597,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.913465263,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.923646929,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.933862721,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.944585714,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.95433951,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.964557051,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.974961257,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.985220214,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.995398964,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.005793253,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.015980169,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.026164169,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.036414085,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.046641251,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.058081152,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.080095006,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.090568919,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.100930542,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.111180166,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.121408498,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.131593081,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.141810622,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.15203808,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.162248329,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.172448662,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2190.182763035,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.193024618,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.203190826,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.213361118,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.223576617,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.233978781,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.244540193,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.254434571,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.264662195,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.274996027,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.285215318,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.295425567,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.305678108,-0.115,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2190.315872899,-0.115,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2190.326082857,-0.115,0.062,0.993,0.0,0.0,-0.061,0.0,N/A
2190.336337439,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.346529897,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.356923894,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.367168852,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.377344685,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.387555809,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.397794058,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.408175514,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.418377889,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.428596305,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.438849429,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.449034887,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.459241636,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.469461219,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.479812633,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.490032799,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.500300507,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.510466715,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.520704089,-0.115,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.530910839,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.541286169,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.551520335,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.570582851,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.582418247,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.592615955,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.602831746,-0.115,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.613072037,-0.114,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.623292494,-0.114,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.633524035,-0.114,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.644004073,-0.114,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.654608943,-0.114,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.664521113,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.674667779,-0.114,0.062,0.992,0.0,0.0,-0.061,0.0,N/A
2190.68493082,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.695199402,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.705354819,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.715585776,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.725801859,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.736015025,-0.114,0.062,0.992,0.0,0.0,-0.122,0.0,N/A
2190.746232275,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.756458566,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.766668815,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.777140686,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.787564433,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.798038054,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.808417468,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.818786383,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.829165213,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.83947142,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.849488005,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.859737921,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.869707548,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.879965047,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.890201838,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.90057746,-0.113,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2190.910911667,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.92121379,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.931613037,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.941946077,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.952328991,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.962757113,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.973284983,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.983692397,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2190.994066853,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
