MonoNS,EstNS,MonoS,EstS,SensorID,Src,East_Vel(m_s),North_Vel(m_s),Up_Vel(m_s)
2359908168640,2359858168640,2359.90816864,2359.85816864,DVL_H1000,BI,0.021,0.0,0.0
2360910482150,2360860482150,2360.91048215,2360.86048215,DVL_H1000,BI,0.021,0.001,0.0
2361891921209,2361841921209,2361.891921209,2361.841921209,DVL_H1000,BI,0.021,0.001,0.004
2362892155537,2362842155537,2362.892155537,2362.842155537,DVL_H1000,BI,0.023,0.008,0.0
2363892205825,2363842205825,2363.892205825,2363.842205825,DVL_H1000,BI,0.02,0.006,0.0
2364872193902,2364822193902,2364.872193902,2364.822193902,DVL_H1000,BI,0.022,0.006,0.0
2365871010747,2365821010747,2365.871010747,2365.821010747,DVL_H1000,BI,0.023,0.004,0.0
2366871077952,2366821077952,2366.871077952,2366.821077952,DVL_H1000,BI,0.023,0.009,0.0
2367851668771,2367801668771,2367.851668771,2367.801668771,DVL_H1000,BI,0.018,0.005,0.0
2368850587407,2368800587407,2368.850587407,2368.800587407,DVL_H1000,BI,0.021,0.006,0.0
2369850653736,2369800653736,2369.850653736,2369.800653736,DVL_H1000,BI,0.02,0.006,0.0
2370830350025,2370780350025,2370.830350025,2370.780350025,DVL_H1000,BI,0.02,0.003,0.0
2371829489158,2371779489158,2371.829489158,2371.779489158,DVL_H1000,BI,0.021,0.0,0.002
2377788722101,2377738722101,2377.788722101,2377.738722101,DVL_H1000,BI,0.135,0.0,0.005
2378788812389,2378738812389,2378.788812389,2378.738812389,DVL_H1000,BI,0.156,0.005,0.002
2379770928314,2379720928314,2379.770928314,2379.720928314,DVL_H1000,BI,0.165,0.0,0.0
2380770285611,2380720285611,2380.770285611,2380.720285611,DVL_H1000,BI,0.122,0.0,0.004
2387731538735,2387681538735,2387.731538735,2387.681538735,DVL_H1000,BI,0.046,0.007,0.005
2388711450271,2388661450271,2388.711450271,2388.661450271,DVL_H1000,BI,0.05,0.005,0.004
2389710663195,2389660663195,2389.710663195,2389.660663195,DVL_H1000,BI,0.04,0.003,0.006
2390710121407,2390660121407,2390.710121407,2390.660121407,DVL_H1000,BI,0.042,0.007,0.0
2391691533841,2391641533841,2391.691533841,2391.641533841,DVL_H1000,BI,0.017,0.001,0.0
2392695122586,2392645122586,2392.695122586,2392.645122586,DVL_H1000,BI,0.036,0.0,0.0
2393695229749,2393645229749,2393.695229749,2393.645229749,DVL_H1000,BI,0.017,0.008,0.011
2394672289403,2394622289403,2394.672289403,2394.622289403,DVL_H1000,BI,0.03,0.008,0.003
2395671685491,2395621685491,2395.671685491,2395.621685491,DVL_H1000,BI,0.014,0.005,0.006
2396671764904,2396621764904,2396.671764904,2396.621764904,DVL_H1000,BI,0.012,0.027,0.0
2397652839301,2397602839301,2397.652839301,2397.602839301,DVL_H1000,BI,0.018,0.017,0.0
2398652323346,2398602323346,2398.652323346,2398.602323346,DVL_H1000,BI,0.023,0.004,0.004
2399651470770,2399601470770,2399.65147077,2399.60147077,DVL_H1000,BI,0.025,0.008,0.003
2400633586987,2400583586987,2400.633586987,2400.583586987,DVL_H1000,BI,0.02,0.008,0.003
2401630017195,2401580017195,2401.630017195,2401.580017195,DVL_H1000,BI,0.023,0.0,0.005
2402633799021,2402583799021,2402.633799021,2402.583799021,DVL_H1000,BI,0.014,0.008,0.006
2403616572064,2403566572064,2403.616572064,2403.566572064,DVL_H1000,BI,0.016,0.001,0.003
2404616978472,2404566978472,2404.616978472,2404.566978472,DVL_H1000,BI,0.018,0.009,0.004
2405615638111,2405565638111,2405.615638111,2405.565638111,DVL_H1000,BI,0.016,0.003,0.0
2407598207945,2407548207945,2407.598207945,2407.548207945,DVL_H1000,BI,0.014,0.004,0.0
2415537433004,2415487433004,2415.537433004,2415.487433004,DVL_H1000,BI,-0.006,-0.012,0.0
2417537297917,2417487297917,2417.537297917,2417.487297917,DVL_H1000,BI,-0.012,0.001,0.0
2418518744475,2418468744475,2418.518744475,2418.468744475,DVL_H1000,BI,-0.013,0.003,0.0
2419518356769,2419468356769,2419.518356769,2419.468356769,DVL_H1000,BI,-0.02,0.005,0.003
2420517918230,2420467918230,2420.51791823,2420.46791823,DVL_H1000,BI,-0.019,0.008,0.0
2421498566799,2421448566799,2421.498566799,2421.448566799,DVL_H1000,BI,-0.014,0.006,0.0
2428454732944,2428404732944,2428.454732944,2428.404732944,DVL_H1000,BI,0.11,0.009,0.005
2429458334813,2429408334813,2429.458334813,2429.408334813,DVL_H1000,BI,0.132,0.007,0.0
2430435208970,2430385208970,2430.43520897,2430.38520897,DVL_H1000,BI,0.154,0.008,0.0
2431439069545,2431389069545,2431.439069545,2431.389069545,DVL_H1000,BI,0.165,0.007,0.003
2432439554994,2432389554994,2432.439554994,2432.389554994,DVL_H1000,BI,0.163,0.012,0.005
2433422469785,2433372469785,2433.422469785,2433.372469785,DVL_H1000,BI,0.176,0.02,0.0
2434421755624,2434371755624,2434.421755624,2434.371755624,DVL_H1000,BI,0.185,0.015,0.003
2435421321127,2435371321127,2435.421321127,2435.371321127,DVL_H1000,BI,0.187,0.004,0.0
2436398988899,2436348988899,2436.398988899,2436.348988899,DVL_H1000,BI,0.123,0.004,0.0
2692638842128,2692588842128,2692.638842128,2692.588842128,DVL_H1000,BI,-0.002,-0.004,0.003
2924016468565,2923966468565,2924.016468565,2923.966468565,DVL_H1000,BI,0.104,0.004,0.0
2925015832862,2924965832862,2925.015832862,2924.965832862,DVL_H1000,BI,0.135,0.004,0.002
2926014822080,2925964822080,2926.01482208,2925.96482208,DVL_H1000,BI,0.163,0.004,0.0
2927995748434,2927945748434,2927.995748434,2927.945748434,DVL_H1000,BI,0.069,0.001,0.005
2930977169029,2930927169029,2930.977169029,2930.927169029,DVL_H1000,BI,-0.058,0.006,0.009
2931975907375,2931925907375,2931.975907375,2931.925907375,DVL_H1000,BI,-0.055,0.002,0.0
2932957310476,2932907310476,2932.957310476,2932.907310476,DVL_H1000,BI,-0.023,0.009,0.0
2934956398690,2934906398690,2934.95639869,2934.90639869,DVL_H1000,BI,-0.093,0.009,0.0
2935939274398,2935889274398,2935.939274398,2935.889274398,DVL_H1000,BI,-0.145,0.054,0.003
2936938247866,2936888247866,2936.938247866,2936.888247866,DVL_H1000,BI,-0.071,0.006,0.0
2937938683441,2937888683441,2937.938683441,2937.888683441,DVL_H1000,BI,-0.054,0.003,0.0
2938920440455,2938870440455,2938.920440455,2938.870440455,DVL_H1000,BI,0.03,0.007,0.0
2939920110456,2939870110456,2939.920110456,2939.870110456,DVL_H1000,BI,0.1,0.031,-0.002
2940920218202,2940870218202,2940.920218202,2940.870218202,DVL_H1000,BI,0.127,0.026,0.007
2941902470626,2941852470626,2941.902470626,2941.852470626,DVL_H1000,BI,0.148,0.012,0.004
2942901824131,2942851824131,2942.901824131,2942.851824131,DVL_H1000,BI,0.17,0.0,0.008
2942908440800,2942858440800,2942.9084408,2942.8584408,DVL_H1000,BE,0.133,0.106,0.004
2943902392413,2943852392413,2943.902392413,2943.852392413,DVL_H1000,BI,0.175,0.003,0.012
2944885211080,2944835211080,2944.88521108,2944.83521108,DVL_H1000,BI,0.165,0.014,0.0
2945884440337,2945834440337,2945.884440337,2945.834440337,DVL_H1000,BI,0.183,0.007,0.008
2946884303669,2946834303669,2946.884303669,2946.834303669,DVL_H1000,BI,0.104,0.01,-0.002
2947866911338,2947816911338,2947.866911338,2947.816911338,DVL_H1000,BI,0.083,0.007,0.002
2948866728296,2948816728296,2948.866728296,2948.816728296,DVL_H1000,BI,0.153,0.006,0.004
2949867009290,2949817009290,2949.86700929,2949.81700929,DVL_H1000,BI,0.177,0.011,0.0
2950849703583,2950799703583,2950.849703583,2950.799703583,DVL_H1000,BI,0.193,0.008,0.006
2951848890549,2951798890549,2951.848890549,2951.798890549,DVL_H1000,BI,0.13,0.014,0.003
2953830645810,2953780645810,2953.83064581,2953.78064581,DVL_H1000,BI,0.075,0.001,0.0
2954830283978,2954780283978,2954.830283978,2954.780283978,DVL_H1000,BI,0.066,0.003,0.002
2957810181842,2957760181842,2957.810181842,2957.760181842,DVL_H1000,BI,0.047,0.0,0.005
2974683689142,2974633689142,2974.683689142,2974.633689142,DVL_H1000,BI,0.013,0.0,0.0
3096842958227,3096792958227,3096.842958227,3096.792958227,DVL_H1000,BI,-0.015,0.004,0.0
3097843327887,3097793327887,3097.843327887,3097.793327887,DVL_H1000,BI,-0.015,0.0,0.0
3098823912581,3098773912581,3098.823912581,3098.773912581,DVL_H1000,BI,-0.014,0.004,0.0
3099823800788,3099773800788,3099.823800788,3099.773800788,DVL_H1000,BI,-0.02,0.001,0.004
3100822150097,3100772150097,3100.822150097,3100.772150097,DVL_H1000,BI,-0.019,0.008,0.0
3101804976556,3101754976556,3101.804976556,3101.754976556,DVL_H1000,BI,-0.01,0.0,0.005
3103803933813,3103753933813,3103.803933813,3103.753933813,DVL_H1000,BI,-0.071,0.001,0.0
3104786633023,3104736633023,3104.786633023,3104.736633023,DVL_H1000,BI,-0.14,0.065,-0.004
3104792428660,3104742428660,3104.79242866,3104.74242866,DVL_H1000,BE,-0.105,0.112,0.001
3105785673865,3105735673865,3105.785673865,3105.735673865,DVL_H1000,BI,-0.161,0.069,0.0
3106785778695,3106735778695,3106.785778695,3106.735778695,DVL_H1000,BI,-0.174,0.076,-0.007
3107768071743,3107718071743,3107.768071743,3107.718071743,DVL_H1000,BI,-0.187,0.077,-0.002
3108767569663,3108717569663,3108.767569663,3108.717569663,DVL_H1000,BI,-0.104,0.06,0.0
3110749582254,3110699582254,3110.749582254,3110.699582254,DVL_H1000,BI,0.026,0.005,0.0
3111749224672,3111699224672,3111.749224672,3111.699224672,DVL_H1000,BI,0.011,0.004,0.0
3113731221721,3113681221721,3113.731221721,3113.681221721,DVL_H1000,BI,-0.004,-0.012,0.0
3115727327680,3115677327680,3115.72732768,3115.67732768,DVL_H1000,BI,-0.007,0.022,0.0
3117708637571,3117658637571,3117.708637571,3117.658637571,DVL_H1000,BI,-0.01,0.005,0.0
3119692310225,3119642310225,3119.692310225,3119.642310225,DVL_H1000,BI,-0.013,0.001,0.002
3120691206111,3120641206111,3120.691206111,3120.641206111,DVL_H1000,BI,-0.016,0.005,0.0
3121687941065,3121637941065,3121.687941065,3121.637941065,DVL_H1000,BI,-0.019,0.005,0.0
3122673168161,3122623168161,3122.673168161,3122.623168161,DVL_H1000,BI,-0.024,0.004,0.0
3123669334955,3123619334955,3123.669334955,3123.619334955,DVL_H1000,BI,-0.021,0.007,0.0
3124673891730,3124623891730,3124.67389173,3124.62389173,DVL_H1000,BI,-0.021,0.005,0.0
3125654815628,3125604815628,3125.654815628,3125.604815628,DVL_H1000,BI,-0.021,0.004,0.0
3126654689169,3126604689169,3126.654689169,3126.604689169,DVL_H1000,BI,-0.015,0.001,0.002
3127653962466,3127603962466,3127.653962466,3127.603962466,DVL_H1000,BI,-0.01,0.003,0.0
3128635679813,3128585679813,3128.635679813,3128.585679813,DVL_H1000,BI,-0.017,0.005,0.004
3129635362023,3129585362023,3129.635362023,3129.585362023,DVL_H1000,BI,-0.012,0.009,0.003
3130633994079,3130583994079,3130.633994079,3130.583994079,DVL_H1000,BI,-0.022,0.006,0.0
3132612131259,3132562131259,3132.612131259,3132.562131259,DVL_H1000,BI,-0.045,0.001,0.0
3133616008458,3133566008458,3133.616008458,3133.566008458,DVL_H1000,BI,-0.054,0.009,0.0
3134592356163,3134542356163,3134.592356163,3134.542356163,DVL_H1000,BI,-0.063,0.009,0.004
3135591151134,3135541151134,3135.591151134,3135.541151134,DVL_H1000,BI,-0.069,0.004,0.0
3136591239921,3136541239921,3136.591239921,3136.541239921,DVL_H1000,BI,-0.071,0.0,0.002
3137575323448,3137525323448,3137.575323448,3137.525323448,DVL_H1000,BI,-0.071,0.003,0.0
3138575232446,3138525232446,3138.575232446,3138.525232446,DVL_H1000,BI,-0.07,0.024,0.003
3139574215539,3139524215539,3139.574215539,3139.524215539,DVL_H1000,BI,-0.063,0.044,0.0
3140557278703,3140507278703,3140.557278703,3140.507278703,DVL_H1000,BI,-0.041,0.055,-0.002
3141556015924,3141506015924,3141.556015924,3141.506015924,DVL_H1000,BI,-0.026,0.058,-0.004
3142555434470,3142505434470,3142.55543447,3142.50543447,DVL_H1000,BI,0.0,0.006,0.006
