t_s,E_m,N_m,U_m,vE_mps,vN_mps,vU_mps,yaw_deg,src_used
2287.405664722,-0.9327832013514141,1.5698259836608226,1.2347911102436435,-0.009451168333525016,0.027363885059173122,0.023385748044476486,115.20404137530139,BI
2288.387462152,-0.9420623341317655,1.5966917756867318,1.257751177572336,-0.011673793297301921,0.027480967313738683,0.013911110148118841,128.12903580104805,BI
2289.382838831,-0.9536821557353657,1.624045689667187,1.271597972192773,-0.014199424537154575,0.015786987675664922,0.007625441819465702,141.21391633679474,BI
2315.205951685,-1.3203554980201666,2.031714854040591,1.4685106168584476,-0.009814952260486795,0.022732379674757767,0.009375800043037669,-143.39775579191868,BI
2318.187901315,-1.3496231912817942,2.099501665200758,1.4964687803277392,0.011992114299063456,-0.008073974537788338,-0.01058301137679363,-169.93626928744928,BI
2319.183597657,-1.3376826869413712,2.0914624382880813,1.4859313146125217,0.01476961025738304,0.0010122195324962723,0.002415372530902577,-176.07942519524784,BI
2320.168013346,-1.3231432508835896,2.0924588830765827,1.4883090452267216,0.015954368433682233,-0.00048748472515727846,0.0011047563193130978,178.2498755622263,BI
2335.063730004,-1.0854914992381222,2.085197448735537,1.5047651823353443,-0.051419373787756954,0.03365656206991543,0.050282042807635235,151.73740074931115,BI
2336.063183549,-1.1368827746519785,2.1188356190088284,1.5550197482692796,-0.07620827033440944,0.06014025277567845,0.08635652568691654,149.38126148601785,BI
2337.062543471,-1.2130422657491415,2.178937377331801,1.641320999043962,-0.0861742409991833,0.07582647233448188,0.11164831517547735,146.95747722755368,BI
2338.045227265,-1.2977242958392865,2.2534508228510832,1.7510359889943041,-0.10558870079733111,0.07563839085029775,0.12605895483268645,144.3841083941005,BI
2339.045915129,-1.4033856273027194,2.3291412426274767,1.8771816552439173,-0.09701708539301312,0.08571549793729474,0.1296554609540471,141.37466348975246,BI
2340.043892276,-1.5002064613934747,2.4146833507126053,2.0065748422597816,-0.09211127699713062,0.08594974712530418,0.15407191054521963,137.9661687357842,BI
2341.021976834,-1.5902990790420162,2.4987494711398583,2.1572701987855973,-0.07832411350184687,0.09864265878421924,0.16841306099032197,133.59271776048038,BI
2342.02478663,-1.668843267324707,2.597669295672188,2.3261564661210867,-0.05813141603273947,0.08415885895773816,0.18518105985483532,127.6882428016818,BI
2343.025163831,-1.7269966105857049,2.681859899435683,2.5114073764568787,-0.04502190304444999,0.08652243433676496,0.18033551120812655,118.99520782888541,BI
2344.006984302,-1.7712000366381226,2.7668093966682714,2.6884644730092657,-0.02445431888921057,0.08250825048373783,0.18948185899916004,109.35812471706072,BI
2345.006274725,-1.7956370033050943,2.849259101195141,2.877811880039329,-0.007437309121906357,0.08390969813774465,0.1967863028552998,98.35333813276398,BI
2346.005230401,-1.8030665454665904,2.9330811704213002,3.0743926742357153,0.005009824502917026,0.08121864794155165,0.19577137912625595,86.5908988627594,BI
